track_id,track_name,track_duration_ms,artists,track_popularity,album_id,album_name,album_genres,album_label,album_popularity
3k79jB4aGmMDUQzEwa46Rz,vampire,219724,Olivia Rodrigo,88,5kqfR7EuGbyp8x27Pr1kY9,vampire,,Olivia Rodrigo PS,80
3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,165671,Eslabon Armado;Peso Pluma,94,5aDEezKnOqyQo0qvTFhpkM,DESVELADO,,DEL Records,90
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,178426,Taylor Swift,97,1NAmidJlEaVgA3MpcPFYGq,Lover,,Taylor Swift,98
7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,231704,Bad Bunny,99,5gCcb5fsSb6w5K8SyJrgtB,WHERE SHE GOES,,Rimas Entertainment LLC,91
2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,234352,Yng Lvcas;Peso Pluma,100,6aBVGuOUEuX18rHxyDWbti,La Bebe (Remix),,WM Mexico,91
6pD0ufEQq0xdHSsRbg9LBK,un x100to,194563,Grupo Frontera;Bad Bunny,99,7aGzSSUD8S6IhPCsZSiuMT,un x100to,,Rimas Entertainment LLC.,91
4DHcnVTT87F0zZhRPYmZ3B,Flowers,200600,Miley Cyrus,91,0HiZ8fNXwJOQcrf5iflrdz,Endless Summer Vacation,,Columbia,89
1odExI7RdWc4BT515LTAwj,Daylight,212953,David Kushner,98,6NcI39WPu4kY6Tul11nhSv,Daylight,,Miserable Music Group, LLC,90
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,174253,FIFTY FIFTY,99,5letLUZIFsQikJYShfGNs4,The Beginning: Cupid,,WM Korea,91
4Dvkj6JhhA12EX05fT7y2e,As It Was,167303,Harry Styles,94,5r36AJ6VOJtp00oxSkBZ5h,Harry's House,,Columbia,95
7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,212878,Peso Pluma;Gabito Ballesteros;Junior H,76,4jox3ip1I39DFC2B7R5qLH,GÉNESIS,,Double P Records,80
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,153946,SZA,94,1nrVofqDRs7cpWXJ49qTnP,SOS,,Top Dawg Entertainment/RCA Records,87
4eMKD8MRroxCqugpsxCCNb,MOJABI GHOST,232131,Tainy;Bad Bunny,82,6xRxlUUfg3M0QB1LUX89gA,DATA,,NEON16, LLC,85
2FDTHlrBguDzQkp7PVj16Q,Sprinter,229133,Dave;Central Cee,95,5l0QlaI3wdZpE7ggoO5Rwg,Sprinter,,Neighbourhood / Live Yours,87
1UMm1Qs3u59Wvk53zBUE8r,SABOR FRESA,156500,Fuerza Regida,89,1vw6eLxCJRAfD6RMJTiuKZ,SABOR FRESA,,Rancho Humilde/Street Mob Records,81
5AqiaZwhmC6dIbgWrD5SzV,Peso Pluma: Bzrp Music Sessions, Vol. 55,188361,Bizarrap;Peso Pluma,98,5dKPhEYBhP8j85HcxQfaw6,Peso Pluma: Bzrp Music Sessions, Vol. 55,,DALE PLAY Records,89
6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,195986,Feid;Young Miko,97,4jtQUtS4ABgER3DnGfKJCv,Classy 101,,UMLE - Latino,88
368eeEO3Y2uZUQ6S5oIjcu,TQM,158965,Fuerza Regida,95,3GqCt85yKxtKxnIivSN15e,TQM,,Rancho Humilde/Street Mob Records,87
1haJsMtoBhHfvuM7XWuT3W,El Azul,187225,Junior H;Peso Pluma,95,2szyIt0ulaHnKxxyrlUCDB,El Azul,,WEA Latina,87
